Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name,Website Source,Emails
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Magnolia House,19 Fairholme Road,Cheam,Sutton,Surrey,SM1 2EE,07908055599,1-101646818,1-106191811,,Sutton,London,2025-09-23T11:35:25Z,https://www.cqc.org.uk/location/1-106191811,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Residential homes,New Life Care Limited,Not Found,
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
Aronel Cottage Care Home Limited,5-11 Highfield Road,,Bognor Regis,West Sussex,PO22 8BQ,01243842000,1-101616030,1-105860838,https://www.aronelcottage.co.uk,West Sussex,South East,2025-09-23T12:05:19Z,https://www.cqc.org.uk/location/1-105860838,,Caring for adults over 65 yrs,Nursing homes,Aronel Cottage Care Home Ltd,CSV,admin@aronel.co.uk
